REGIÃO/UF,1976/77,1976/77,1976/77,1977/78 ,1977/78 ,1977/78 ,1978/79,1978/79,1978/79,1979/80,1979/80,1979/80,1980/81,1980/81,1980/81,1981/82,1981/82,1981/82,1982/83,1982/83,1982/83,1983/84,1983/84,1983/84,1984/85,1984/85,1984/85,1985/86,1985/86,1985/86,1986/87,1986/87,1986/87,1987/88,1987/88,1987/88,1988/89,1988/89,1988/89,1989/90,1989/90,1989/90,1990/91,1990/91,1990/91,1991/92,1991/92,1991/92,1992/93,1992/93,1992/93,1993/94,1993/94,1993/94,1994/95,1994/95,1994/95,1995/96,1995/96,1995/96,1996/97,1996/97,1996/97,1997/98,1997/98,1997/98,1998/99,1998/99,1998/99,1999/00,1999/00,1999/00,2000/01,2000/01,2000/01,2001/02,2001/02,2001/02,2002/03,2002/03,2002/03,2003/04,2003/04,2003/04,2004/05,2004/05,2004/05,2005/06,2005/06,2005/06,2006/07,2006/07,2006/07,2007/08,2007/08,2007/08,2008/09,2008/09,2008/09,2009/10 ,2009/10 ,2009/10 ,2010/11,2010/11 ,2010/11 ,2011/12,2011/12,2011/12,2012/13,2012/13,2012/13,2013/14,2013/14,2013/14,2014/15,2014/15,2014/15,2015/16,2015/16,2015/16,2016/17,2016/17,2016/17,2017/18,2017/18,2017/18,2018/19,2018/19,2018/19,2019/20,2019/20,2019/20,2020/21 Previsão (¹),2020/21 Previsão (¹),2020/21 Previsão (¹)
SE," 50,7 ", 720 , 37 ," 52,0 ", 673 , 35 ," 48,0 ", 625 , 30 ," 54,0 ", 519 , 28 ," 65,0 ", 692 , 45 ," 105,9 ", 834 , 88 ," 17,3 ", 98 , 2 ," 71,0 ", 700 , 50 ," 97,0 ", 700 , 68 ," 103,0 ", 875 , 90 ," 105,0 ", 291 , 31 ," 76,0 ", 889 , 68 ," 84,0 ", 930 , 78 ," 84,9 ", 960 , 82 ," 80,0 ", 870 ," 69,6 "," 60,0 ", 530 ," 31,8 "," 18,0 ", 150 ," 2,7 "," 77,5 ", 889 ," 68,9 "," 92,0 ", 926 ," 85,2 "," 100,2 ", 1.111 ," 111,3 "," 103,0 ", 916 ," 94,3 "," 103,0 ", 916 ," 94,3 "," 87,0 ", 1.351 ," 117,5 "," 87,0 ", 1.100 ," 95,7 "," 90,0 ", 1.100 ," 99,0 "," 100,8 ", 478 ," 48,2 "," 110,9 ", 1.200 ," 133,1 "," 132,0 ", 1.200 ," 126,2 "," 127,4 ", 1.300 ," 165,6 "," 142,7 ", 1.330 ," 189,8 "," 144,6 ", 1.366 ," 197,5 "," 162,7 ", 2.774 ," 451,3 "," 172,7 ", 3.560 ," 614,8 "," 176,8 ", 4.088 ," 722,8 "," 221,4 ", 4.192 ," 928,1 "," 206,8 ", 2.629 ," 543,7 ","206,6",4.557,"941,5","226,6",4.670,"1.058,2","176,2",3.794,"668,5"," 177,0 ", 795 ," 140,7 "," 172,0 ", 4.721 ," 812,0 "," 143,0 ", 808 ," 115,5 "," 147,9 ", 5.191 ," 767,7 "," 153,7 ", 5.528 ," 849,7 "," 153,7 ", 5.505 ," 846,1 "
BA," 313,0 ", 674 , 211 ," 278,0 ", 802 , 223 ," 327,0 ", 920 , 301 ," 437,0 ", 740 , 323 ," 620,0 ", 331 , 205 ," 678,0 ", 355 , 241 ," 424,2 ", 291 , 124 ," 420,4 ", 203 , 85 ," 418,0 ", 834 , 349 ," 507,9 ", 622 , 316 ," 647,0 ", 257 , 166 ," 728,0 ", 343 , 250 ," 553,8 ", 497 , 276 ," 428,9 ", 268 , 115 ," 557,0 ", 831 ," 462,9 "," 642,1 ", 814 ," 522,4 "," 489,2 ", 578 ," 283,0 "," 490,3 ", 1.273 ," 624,3 "," 496,0 ", 1.529 ," 758,5 "," 567,6 ", 1.213 ," 688,6 "," 681,3 ", 1.763 ," 1.201,0 "," 504,7 ", 1.488 ," 751,0 "," 660,0 ", 1.532 ," 1.010,9 "," 654,2 ", 1.997 ," 1.306,2 "," 705,5 ", 1.436 ," 1.013,1 "," 672,6 ", 1.063 ," 715,0 "," 797,3 ", 1.755 ," 1.399,2 "," 734,9 ", 2.167 ," 1.656,8 "," 802,6 ", 2.039 ," 1.636,2 "," 777,9 ", 1.491 ," 1.159,5 "," 833,1 ", 2.037 ," 1.696,7 "," 831,2 ", 2.366 ," 1.966,6 "," 818,8 ", 2.449 ," 2.005,2 "," 806,9 ", 2.822 ," 2.277,1 "," 789,9 ", 2.883 ," 2.277,4 "," 605,0 ", 3.594 ," 2.174,3 ","628,4",3.022,"1.899,3","812,5",3.917,"3.182,3","764,3",3.629,"2.773,4"," 618,7 ", 2.340 ," 1.447,9 "," 646,9 ", 3.067 ," 1.983,7 "," 611,2 ", 3.755 ," 2.294,8 "," 592,2 ", 2.753 ," 1.630,1 "," 592,6 ", 4.183 ," 2.479,1 "," 596,6 ", 4.014 ," 2.394,6 "
MT," 247,3 ", 1.558 , 385 ," 179,0 ", 1.397 , 250 ," 76,0 ", 1.553 , 118 ," 86,0 ", 1.658 , 143 ," 110,0 ", 1.682 , 185 ," 158,0 ", 1.759 , 278 ," 197,5 ", 1.760 , 348 ," 217,3 ", 1.650 , 359 ," 236,0 ", 1.700 , 401 ," 275,0 ", 1.900 , 523 ," 310,0 ", 2.250 , 698 ," 353,4 ", 2.140 , 756 ," 352,0 ", 2.350 , 827 ," 320,0 ", 2.330 , 746 ," 290,0 ", 2.410 ," 698,9 "," 305,0 ", 2.642 ," 805,8 "," 363,4 ", 2.573 ," 935,2 "," 449,7 ", 2.609 ," 1.173,1 "," 455,0 ", 2.828 ," 1.286,9 "," 562,1 ", 2.679 ," 1.505,7 "," 631,7 ", 2.808 ," 1.773,8 "," 528,4 ", 2.552 ," 1.348,4 "," 553,9 ", 2.260 ," 1.251,7 "," 557,5 ", 2.632 ," 1.467,2 "," 542,9 ", 3.396 ," 1.843,6 "," 738,6 ", 2.978 ," 2.199,8 "," 879,3 ", 3.671 ," 3.227,8 "," 970,9 ", 3.450 ," 3.446,4 "," 1.058,7 ", 3.197 ," 3.384,4 "," 1.046,8 ", 3.848 ," 4.028,3 "," 1.592,3 ", 3.683 ," 5.864,9 "," 1.834,6 ", 4.255 ," 7.806,8 "," 1.640,60 ", 4.926 ," 8.081,70 "," 1.990,10 ", 4.079 ," 8.118,10 "," 1.898,40 ", 4.014 ," 7.619,70 "," 2.739,90 ", 5.697 ," 15.610,40 ","3.424,7",5.809,"19.893,0","3.298,2",5.473,"18.049,4","3.416,5",6.077,"20.763,4"," 3.800,1 ", 4.019 ," 15.271,6 "," 4.639,1 ", 6.223 ," 28.867,0 "," 4.498,4 ", 5.869 ," 26.400,6 "," 4.906,4 ", 6.381 ," 31.307,2 "," 5.455,6 ", 6.407 ," 34.954,5 "," 5.457,3 ", 6.349 ," 34.649,8 "
MS,,,,,,," 101,0 ", 1.743 , 176 ," 108,6 ", 1.726 , 187 ," 132,0 ", 1.780 , 235 ," 145,0 ", 1.766 , 256 ," 127,6 ", 2.000 , 255 ," 159,5 ", 1.800 , 287 ," 159,5 ", 2.000 , 319 ," 215,3 ", 1.550 , 334 ," 258,0 ", 2.440 , 630 ," 250,0 ", 2.630 , 658 ," 265,0 ", 2.900 , 769 ," 283,0 ", 2.271 , 643 ," 360,0 ", 2.663 ," 958,5 "," 369,7 ", 2.352 ," 869,4 "," 367,9 ", 2.425 ," 892,3 "," 503,2 ", 2.323 ," 1.169,0 "," 497,0 ", 2.970 ," 1.476,3 "," 452,8 ", 3.319 ," 1.503,0 "," 550,3 ", 3.576 ," 1.967,8 "," 451,5 ", 2.977 ," 1.343,9 "," 513,7 ", 3.275 ," 1.682,4 "," 513,8 ", 2.323 ," 1.193,6 "," 545,9 ", 3.984 ," 2.174,7 "," 481,2 ", 2.796 ," 1.345,6 "," 701,9 ", 4.331 ," 3.039,7 "," 628,3 ", 3.818 ," 2.353,0 "," 564,4 ", 2.475 ," 1.396,9 "," 623,4 ", 3.595 ," 2.241,0 "," 838,2 ", 3.521 ," 2.951,4 "," 988,3 ", 3.566 ," 3.524,3 "," 938,5 ", 2.463 ," 2.311,9 "," 887,5 ", 4.211 ," 3.737,3 "," 992,8 ", 3.448 ," 3.423,2 "," 1.267,7 ", 5.188 ," 6.576,4 ","1.509,0",5.183,"7.820,7","1.574,5",5.195,"8.179,6","1.635,5",5.676,"9.282,9"," 1.681,0 ", 3.730 ," 6.269,5 "," 1.787,9 ", 5.521 ," 9.870,6 "," 1.735,5 ", 3.734 ," 6.481,0 "," 1.876,0 ", 5.067 ," 9.505,6 "," 1.855,0 ", 4.735 ," 8.783,0 "," 1.855,0 ", 5.082 ," 9.427,7 "
GO," 863,0 ", 1.800 , 1.553 ," 885,0 ", 1.243 , 1.100 ," 852,0 ", 1.831 , 1.560 ," 810,1 ", 2.160 , 1.750 ," 855,0 ", 1.950 , 1.667 ," 888,7 ", 2.160 , 1.920 ," 813,0 ", 2.200 , 1.789 ," 813,0 ", 1.860 , 1.512 ," 737,0 ", 2.250 , 1.658 ," 943,4 ", 2.400 , 2.264 ," 1.183,0 ", 2.600 , 3.076 ," 1.019,3 ", 2.941 , 2.998 ," 1.045,8 ", 3.300 , 3.451 ," 930,0 ", 2.050 , 1.907 ," 890,0 ", 3.100 ," 2.759,0 "," 822,0 ", 3.440 ," 2.827,9 "," 692,1 ", 3.396 ," 2.350,5 "," 906,1 ", 3.633 ," 3.292,0 "," 875,3 ", 4.032 ," 3.529,3 "," 926,5 ", 3.945 ," 3.654,7 "," 964,6 ", 4.042 ," 3.898,6 "," 659,7 ", 3.888 ," 2.565,1 "," 840,4 ", 4.060 ," 3.412,2 "," 871,8 ", 4.097 ," 3.571,8 "," 906,1 ", 4.503 ," 4.080,4 "," 746,3 ", 4.549 ," 3.394,7 "," 715,0 ", 4.873 ," 3.484,3 "," 676,8 ", 4.983 ," 3.372,3 "," 605,0 ", 4.653 ," 2.814,8 "," 662,8 ", 4.660 ," 3.088,8 "," 785,0 ", 4.952 ," 3.887,5 "," 903,5 ", 5.568 ," 5.031,1 "," 910,0 ", 5.383 ," 4.898,9 "," 812,5 ", 5.903 ," 4.796,0 "," 933,9 ", 6.435 ," 6.009,8 "," 1.241,9 ", 6.905 ," 8.575,9 ","1.215,8",6.330,"7.696,1","1.240,5",6.448,"7.999,1","1.363,0",6.599,"8.993,9"," 1.521,1 ", 4.228 ," 6.430,5 "," 1.520,7 ", 6.342 ," 9.644,2 "," 1.444,6 ", 5.615 ," 8.111,7 "," 1.677,0 ", 6.853 ," 11.492,0 "," 1.911,7 ", 6.600 ," 12.616,9 "," 1.832,2 ", 6.572 ," 12.041,2 "
DF," 2,3 ", 1.217 , 3 ,,,,,,,,,,,,," 2,5 ", 1.440 , 4 ," 2,4 ", 1.542 , 4 ," 3,0 ", 1.500 , 5 ," 4,0 ", 1.800 , 7 ," 6,1 ", 3.148 , 19 ," 13,6 ", 3.691 , 50 ," 18,5 ", 3.330 , 62 ," 15,5 ", 3.439 , 53 ," 16,8 ", 2.702 , 45 ," 24,0 ", 3.729 ," 89,5 "," 24,6 ", 3.451 ," 84,9 "," 17,3 ", 3.688 ," 63,8 "," 20,9 ", 4.211 ," 88,0 "," 21,8 ", 3.803 ," 82,9 "," 25,3 ", 4.119 ," 104,2 "," 27,4 ", 4.606 ," 126,2 "," 23,8 ", 4.702 ," 111,9 "," 34,0 ", 4.312 ," 146,6 "," 32,5 ", 4.628 ," 150,4 "," 33,7 ", 4.024 ," 135,6 "," 28,2 ", 5.252 ," 148,1 "," 31,6 ", 5.684 ," 179,6 "," 32,9 ", 5.571 ," 183,3 "," 36,7 ", 6.185 ," 227,0 "," 39,5 ", 5.927 ," 234,1 "," 44,2 ", 6.566 ," 290,2 "," 48,3 ", 6.707 ," 324,0 "," 39,00 ", 6.965 ," 271,60 "," 33,20 ", 7.692 ," 255,40 "," 32,40 ", 8.115 ," 262,90 "," 42,30 ", 8.358 ," 353,60 ","53,4",9.379,"500,8","89,0",9.278,"825,7","65,2",8.312,"541,9"," 65,20 ", 4.184 ," 272,80 "," 67,00 ", 7.341 ," 491,90 "," 63,60 ", 7.199 ," 457,90 "," 64,8 ", 8.042 ," 521,1 "," 61,20 ", 7.869 ," 481,60 "," 60,10 ", 8.067 ," 484,90 "
MG," 1.795,2 ", 1.524 , 2.735 ," 1.735,0 ", 1.476 , 2.560 ," 1.685,0 ", 1.549 , 2.610 ," 1.461,4 ", 1.880 , 2.747 ," 1.576,8 ", 1.793 , 2.827 ," 1.635,6 ", 1.873 , 3.063 ," 1.406,6 ", 1.905 , 2.680 ," 1.519,2 ", 1.660 , 2.522 ," 1.496,0 ", 2.000 , 2.992 ," 1.555,8 ", 2.100 , 3.267 ," 1.677,0 ", 2.000 , 3.354 ," 1.526,0 ", 2.235 , 3.411 ," 1.492,0 ", 2.260 , 3.372 ," 1.432,0 ", 1.645 , 2.356 ," 1.580,0 ", 2.400 ," 3.792,0 "," 1.580,0 ", 2.470 ," 3.902,6 "," 1.507,3 ", 2.650 ," 3.994,3 "," 1.507,3 ", 2.610 ," 3.934,1 "," 1.510,0 ", 2.750 ," 4.152,5 "," 1.374,1 ", 2.850 ," 3.916,2 "," 1.409,5 ", 3.191 ," 4.497,9 "," 1.295,3 ", 2.981 ," 3.861,3 "," 1.328,6 ", 3.057 ," 4.061,6 "," 1.272,4 ", 3.253 ," 4.138,7 "," 1.246,4 ", 3.392 ," 4.227,8 "," 1.201,6 ", 3.984 ," 4.787,7 "," 1.269,1 ", 4.198 ," 5.327,3 "," 1.346,5 ", 4.456 ," 6.000,4 "," 1.359,7 ", 4.539 ," 6.172,3 "," 1.371,7 ", 3.850 ," 5.280,8 "," 1.398,5 ", 4.474 ," 6.256,8 "," 1.339,4 ", 4.949 ," 6.629,1 "," 1.290,4 ", 5.071 ," 6.543,5 "," 1.192,3 ", 5.102 ," 6.083,6 "," 1.205,4 ", 5.415 ," 6.526,7 "," 1.312,8 ", 5.947 ," 7.807,4 ","1.268,6",5.874,"7.452,2","1.326,0",5.236,"6.943,0","1.277,6",5.373,"6.864,5"," 1.208,4 ", 4.900 ," 5.921,0 "," 1.267,0 ", 5.936 ," 7.520,9 "," 1.165,1 ", 6.082 ," 7.086,5 "," 1.169,4 ", 6.443 ," 7.534,2 "," 1.171,2 ", 6.424 ," 7.524,3 "," 1.200,7 ", 6.512 ," 7.819,3 "
ES," 206,8 ", 1.260 , 261 ," 193,0 ", 1.264 , 244 ," 150,0 ", 1.160 , 174 ," 152,6 ", 1.353 , 207 ," 144,0 ", 1.549 , 223 ," 140,4 ", 1.585 , 223 ," 117,0 ", 1.460 , 171 ," 138,0 ", 1.500 , 207 ," 130,0 ", 1.770 , 230 ," 130,0 ", 1.800 , 234 ," 128,7 ", 1.980 , 255 ," 115,8 ", 1.775 , 206 ," 127,4 ", 2.130 , 271 ," 115,5 ", 1.575 , 182 ," 115,5 ", 2.500 ," 288,8 "," 120,0 ", 2.350 ," 282,0 "," 121,2 ", 2.600 ," 315,1 "," 110,4 ", 2.010 ," 221,9 "," 71,0 ", 1.451 ," 103,0 "," 91,0 ", 2.400 ," 218,4 "," 59,0 ", 2.500 ," 147,5 "," 56,0 ", 2.400 ," 134,4 "," 51,5 ", 2.390 ," 123,1 "," 46,4 ", 2.394 ," 111,1 "," 46,9 ", 2.751 ," 129,0 "," 50,2 ", 2.751 ," 138,1 "," 52,7 ", 2.750 ," 144,9 "," 49,5 ", 2.529 ," 125,2 "," 46,0 ", 2.600 ," 119,6 "," 39,8 ", 2.101 ," 83,6 "," 37,8 ", 2.399 ," 90,7 "," 37,4 ", 2.548 ," 95,3 "," 37,6 ", 2.576 ," 96,9 "," 34,5 ", 2.151 ," 74,2 "," 34,3 ", 2.381 ," 81,7 "," 31,5 ", 2.429 ," 76,5 ","24,1",2.547,"61,4","22,3",2.711,"60,5","17,8",1.363,"24,3"," 13,6 ", 2.910 ," 39,6 "," 13,2 ", 2.832 ," 37,4 "," 13,4 ", 2.995 ," 40,1 "," 11,8 ", 2.701 ," 31,9 "," 11,5 ", 2.891 ," 33,2 "," 11,5 ", 2.843 ," 32,7 "
RJ," 55,0 ", 900 , 50 ," 50,0 ", 900 , 45 ," 39,0 ", 949 , 37 ," 42,0 ", 1.088 , 46 ," 43,0 ", 1.140 , 49 ," 47,3 ", 1.423 , 67 ," 47,3 ", 1.400 , 66 ," 47,3 ", 1.461 , 69 ," 42,0 ", 1.600 , 67 ," 42,0 ", 1.548 , 65 ," 33,6 ", 1.551 , 52 ," 34,5 ", 1.759 , 61 ," 36,8 ", 1.769 , 65 ," 33,2 ", 1.401 , 47 ," 26,0 ", 1.762 ," 45,8 "," 31,0 ", 1.861 ," 57,7 "," 33,2 ", 2.000 ," 66,4 "," 29,6 ", 1.841 ," 54,5 "," 22,5 ", 1.431 ," 32,2 "," 21,8 ", 1.950 ," 42,5 "," 20,5 ", 1.951 ," 40,0 "," 17,8 ", 2.461 ," 43,8 "," 18,0 ", 2.000 ," 36,0 "," 16,4 ", 1.970 ," 32,3 "," 14,4 ", 1.951 ," 28,1 "," 11,8 ", 2.280 ," 26,9 "," 9,7 ", 2.278 ," 22,1 "," 11,4 ", 2.096 ," 23,9 "," 11,6 ", 2.276 ," 26,4 "," 11,1 ", 2.396 ," 26,6 "," 10,7 ", 2.196 ," 23,5 "," 8,1 ", 2.442 ," 19,8 "," 8,3 ", 2.455 ," 20,4 "," 7,0 ", 2.507 ," 17,5 "," 7,2 ", 2.351 ," 16,9 "," 6,1 ", 2.435 ," 14,9 ","5,9",2.250,"13,3","4,4",2.332,"10,3","2,6",2.394,"6,2"," 2,0 ", 2.600 ," 5,2 "," 2,7 ", 2.332 ," 6,3 "," 1,0 ", 3.069 ," 3,1 "," 1,2 ", 3.007 ," 3,6 "," 1,1 ", 3.295 ," 3,6 "," 1,1 ", 3.017 ," 3,3 "
SP," 1.134,0 ", 2.222 , 2.520 ," 991,0 ", 1.702 , 1.687 ," 1.185,0 ", 2.042 , 2.420 ," 1.075,0 ", 2.331 , 2.506 ," 1.177,0 ", 2.490 , 2.931 ," 1.330,7 ", 2.549 , 3.392 ," 1.217,0 ", 2.600 , 3.164 ," 1.241,0 ", 2.370 , 2.941 ," 1.166,0 ", 2.500 , 2.915 ," 1.280,0 ", 2.470 , 3.162 ," 1.382,4 ", 2.700 , 3.733 ," 1.227,0 ", 2.950 , 3.620 ," 1.327,0 ", 2.850 , 3.782 ," 1.234,0 ", 2.490 , 3.073 ," 1.448,6 ", 2.810 ," 4.070,8 "," 1.566,3 ", 2.602 ," 4.074,8 "," 1.430,0 ", 2.728 ," 3.900,6 "," 1.302,3 ", 2.598 ," 3.383,8 "," 1.289,7 ", 3.198 ," 4.124,6 "," 1.164,5 ", 2.984 ," 3.474,8 "," 1.206,9 ", 3.133 ," 3.780,7 "," 1.177,8 ", 3.347 ," 3.942,5 "," 1.215,8 ", 3.135 ," 3.811,0 "," 1.159,3 ", 2.509 ," 2.909,1 "," 1.144,2 ", 3.677 ," 4.207,0 "," 1.083,5 ", 3.638 ," 3.941,7 "," 1.091,0 ", 4.174 ," 4.553,4 "," 1.058,1 ", 4.253 ," 4.499,6 "," 1.066,8 ", 3.735 ," 3.984,5 "," 1.049,4 ", 4.060 ," 4.260,9 "," 957,6 ", 4.159 ," 3.982,2 "," 966,0 ", 4.838 ," 4.673,4 "," 917,4 ", 4.659 ," 4.274,2 "," 879,5 ", 5.162 ," 4.540,3 "," 899,1 ", 4.813 ," 4.327,0 "," 891,9 ", 5.495 ," 4.901,2 ","904,4",5.695,"5.150,8","753,8",4.928,"3.714,6","762,7",5.462,"4.166,2"," 827,3 ", 4.628 ," 3.828,5 "," 856,0 ", 5.705 ," 4.883,3 "," 887,4 ", 4.507 ," 3.999,7 "," 844,9 ", 5.425 ," 4.583,7 "," 870,7 ", 4.827 ," 4.202,9 "," 870,7 ", 5.336 ," 4.646,4 "
PR," 2.153,9 ", 2.150 , 4.631 ," 1.811,0 ", 1.363 , 2.468 ," 2.150,0 ", 2.027 , 4.358 ," 2.165,0 ", 2.360 , 5.110 ," 2.153,0 ", 2.587 , 5.570 ," 2.304,0 ", 2.350 , 5.414 ," 2.270,0 ", 2.282 , 5.180 ," 2.450,0 ", 2.230 , 5.464 ," 2.330,0 ", 2.420 , 5.639 ," 2.470,0 ", 1.740 , 4.298 ," 2.926,2 ", 2.570 , 7.520 ," 2.317,0 ", 2.450 , 5.677 ," 2.108,0 ", 2.449 , 5.163 ," 2.122,0 ", 2.400 , 5.092 ," 2.363,0 ", 2.103 ," 4.968,9 "," 2.600,0 ", 2.824 ," 7.342,5 "," 2.689,0 ", 2.886 ," 7.760,6 "," 2.881,0 ", 2.822 ," 8.129,4 "," 2.750,0 ", 3.338 ," 9.180,0 "," 2.440,5 ", 3.243 ," 7.914,8 "," 2.525,0 ", 3.233 ," 8.164,5 "," 2.254,4 ", 3.284 ," 7.403,9 "," 2.549,2 ", 3.319 ," 8.460,8 "," 2.668,3 ", 2.638 ," 7.037,7 "," 2.797,0 ", 4.424 ," 12.374,9 "," 2.492,5 ", 3.757 ," 9.363,2 "," 2.805,8 ", 4.867 ," 13.657,2 "," 2.447,1 ", 4.574 ," 11.192,1 "," 2.106,1 ", 3.995 ," 8.414,3 "," 2.491,1 ", 4.485 ," 11.173,0 "," 2.772,5 ", 4.996 ," 13.851,3 "," 2.979,4 ", 5.158 ," 15.368,3 "," 2.783,0 ", 3.989 ," 11.100,8 "," 2.250,1 ", 5.975 ," 13.443,3 "," 2.485,8 ", 4.927 ," 12.247,7 "," 3.002,8 ", 5.580 ," 16.757,1 ","3.047,3",5.790,"17.642,4","2.566,2",6.107,"15.671,8","2.456,8",6.457,"15.862,9"," 2.612,4 ", 5.545 ," 14.484,9 "," 2.917,0 ", 6.115 ," 17.837,8 "," 2.430,9 ", 4.878 ," 11.857,7 "," 2.606,7 ", 6.394 ," 16.667,9 "," 2.629,8 ", 5.684 ," 14.947,8 "," 2.637,6 ", 6.070 ," 16.011,3 "
SC," 1.063,6 ", 2.514 , 2.674 ," 1.037,0 ", 1.784 , 1.850 ," 1.097,0 ", 1.659 , 1.820 ," 949,0 ", 2.500 , 2.373 ," 950,0 ", 2.943 , 2.796 ," 950,0 ", 2.500 , 2.375 ," 921,5 ", 1.700 , 1.567 ," 950,0 ", 2.746 , 2.609 ," 940,0 ", 2.400 , 2.256 ," 968,0 ", 2.040 , 1.975 ," 1.008,0 ", 2.300 , 2.318 ," 967,7 ", 2.550 , 2.468 ," 980,0 ", 2.700 , 2.646 ," 950,0 ", 2.800 , 2.660 ," 1.050,0 ", 1.490 ," 1.564,5 "," 1.064,1 ", 3.098 ," 3.296,3 "," 1.031,5 ", 3.198 ," 3.298,5 "," 1.041,8 ", 3.298 ," 3.435,4 "," 1.062,6 ", 3.597 ," 3.821,8 "," 1.016,9 ", 2.950 ," 2.999,9 "," 1.027,1 ", 3.550 ," 3.646,2 "," 768,0 ", 3.500 ," 2.688,0 "," 783,4 ", 3.620 ," 2.835,9 "," 824,6 ", 3.950 ," 3.257,2 "," 893,0 ", 4.420 ," 3.947,1 "," 832,0 ", 3.733 ," 3.105,9 "," 848,6 ", 4.990 ," 4.234,5 "," 814,7 ", 4.100 ," 3.340,3 "," 798,4 ", 3.530 ," 2.818,4 "," 784,8 ", 4.050 ," 3.178,4 "," 706,3 ", 5.470 ," 3.863,5 "," 715,8 ", 5.713 ," 4.089,4 "," 667,1 ", 4.895 ," 3.265,2 "," 593,5 ", 6.400 ," 3.798,4 "," 548,2 ", 6.515 ," 3.571,5 "," 536,7 ", 5.491 ," 2.947,0 ","489,0",6.870,"3.359,4","471,9",7.385,"3.485,0","411,5",7.750,"3.189,1"," 370,0 ", 7.330 ," 2.712,1 "," 400,3 ", 8.152 ," 3.263,2 "," 319,0 ", 7.997 ," 2.551,0 "," 335,0 ", 8.580 ," 2.874,3 "," 336,0 ", 8.273 ," 2.779,7 "," 350,8 ", 8.225 ," 2.885,3 "
RS," 1.673,0 ", 1.602 , 2.680 ," 1.651,0 ", 1.320 , 2.180 ," 1.785,0 ", 1.014 , 1.810 ," 1.863,5 ", 1.714 , 3.194 ," 1.819,0 ", 2.152 , 3.914 ," 1.910,0 ", 1.648 , 3.148 ," 1.814,5 ", 1.800 , 3.266 ," 1.911,0 ", 1.780 , 3.402 ," 1.758,0 ", 1.700 , 2.989 ," 1.758,0 ", 1.100 , 1.934 ," 1.971,7 ", 2.000 , 3.943 ," 1.683,0 ", 1.570 , 2.642 ," 1.582,0 ", 2.100 , 3.322 ," 1.646,0 ", 2.450 , 4.033 ," 1.876,4 ", 1.175 ," 2.204,8 "," 2.010,0 ", 2.670 ," 5.366,7 "," 1.567,8 ", 2.770 ," 4.342,8 "," 1.700,0 ", 2.865 ," 4.870,5 "," 1.887,0 ", 3.180 ," 6.000,7 "," 1.754,9 ", 1.800 ," 3.158,8 "," 1.649,6 ", 2.500 ," 4.124,0 "," 1.501,1 ", 3.000 ," 4.503,3 "," 1.471,1 ", 2.230 ," 3.280,6 "," 1.540,0 ", 2.446 ," 3.766,8 "," 1.663,2 ", 3.750 ," 6.237,0 "," 1.460,0 ", 2.675 ," 3.905,5 "," 1.408,9 ", 3.750 ," 5.283,4 "," 1.296,2 ", 2.700 ," 3.499,7 "," 1.237,9 ", 1.269 ," 1.570,9 "," 1.436,0 ", 3.167 ," 4.547,8 "," 1.385,7 ", 4.300 ," 5.958,5 "," 1.391,0 ", 3.826 ," 5.322,0 "," 1.388,5 ", 3.060 ," 4.248,8 "," 1.151,0 ", 4.860 ," 5.593,9 "," 1.099,2 ", 5.255 ," 5.776,3 "," 1.113,5 ", 3.002 ," 3.342,7 ","1.033,3",5.210,"5.383,5","1.031,2",5.544,"5.717,0","941,0",6.560,"6.173,0"," 823,0 ", 7.160 ," 5.892,7 "," 804,9 ", 7.500 ," 6.036,8 "," 728,4 ", 6.628 ," 4.827,8 "," 753,9 ", 7.651 ," 5.768,1 "," 791,4 ", 4.973 ," 3.935,6 "," 808,0 ", 7.054 ," 5.699,6 "
